country,countrycode,year,month,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa,time,usa_imp_sa,usa_ip_sa,chn_ip_sa,ln_ip,ln_usa_ip,ln_chn_ip,ln_usa_imports,ln_er_usd,cc
,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,1998,2,76.09022996,4.415547471,98.5324845,95.94654225,3.82665,4526050472,4769492746,457,74184,2.33E+11,50452115592,22.28550579,26.1755713,24.64429052,11.21430377,1.341989747,MYS
,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,1998,2,53.15815445,7.651601181,132.8964406,93.1444605,40.14125,6599709764,6233136329,457,74184,2.33E+11,50452115592,22.55314547,26.1755713,24.64429052,11.21430377,3.692404484,PHL
,,,,,,,,,,,,,,,,,,,,
Thailand,THA,1998,2,75.10990502,8.7757971,80.4201695,76.8079055,46.055,5602920429,5439941718,457,74184,2.33E+11,50452115592,22.41703418,26.1755713,24.64429052,11.21430377,3.829836334,THA
,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,1998,2,86.31076752,1.047782127,94.52479005,104.1350673,1.6522,2324321272,2513824725,457,74184,2.33E+11,50452115592,21.64507123,26.1755713,24.64429052,11.21430377,0.502107733,SGP
,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,1998,3,76.82332675,5.200332061,100.0727316,97.56934045,3.733090909,4951316960,4914485618,458,76369,2.33E+11,50813949281,22.31545293,26.17630873,24.65143675,11.24333213,1.317236552,MYS
,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,1998,3,85.77564192,0.912244285,95.88250958,104.7298764,1.6175,2947969698,2567451525,458,76369,2.33E+11,50813949281,21.66617962,26.17630873,24.65143675,11.24333213,0.480881747,SGP
,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,1998,3,53.75928044,8.112679868,137.3554493,96.76930045,38.77863636,7019627671,6213571131,458,76369,2.33E+11,50813949281,22.55000163,26.17630873,24.65143675,11.24333213,3.657869486,PHL
,,,,,,,,,,,,,,,,,,,,
Thailand,THA,1998,3,75.81803943,9.262021514,89.697715,86.27663864,41.2825,6370406039,5677817737,458,76369,2.33E+11,50813949281,22.45983279,26.17630873,24.65143675,11.24333213,3.720438681,THA
,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,1998,4,77.00424303,5.480315413,99.73226691,97.14205136,3.731318182,4971567745,4868502881,459,76350,2.34E+11,51392962198,22.30605231,26.17992923,24.66276708,11.24308331,1.316761571,MYS
,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,1998,4,85.82439523,0.50704838,96.82843252,105.5218159,1.599863636,2465562223,2558503580,459,76350,2.34E+11,51392962198,21.66268839,26.17992923,24.66276708,11.24308331,0.469918398,SGP
,,,,,,,,,,,,,,,,,,,,
Thailand,THA,1998,4,76.34477707,9.868705793,93.11049682,90.00923364,39.56272727,5111705627,5707473286,459,76350,2.34E+11,51392962198,22.46504226,26.17992923,24.66276708,11.24308331,3.677887445,THA
,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,1998,4,54.14619922,8.341000381,137.8462551,97.55769318,38.36,6200787753,6087192748,459,76350,2.34E+11,51392962198,22.52945285,26.17992923,24.66276708,11.24308331,3.64701525,PHL
,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,1998,5,85.62241724,0.065116531,95.62498607,103.3830019,1.635190476,2304801176,2331335342,460,76492,2.36E+11,51897392503,21.56970705,26.18632525,24.67253439,11.24494144,0.491759297,SGP
,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,1998,5,54.95256039,9.826291606,136.3654731,97.72732786,39.17619048,6403748074,5896752829,460,76492,2.36E+11,51897392503,22.49766767,26.18632525,24.67253439,11.24494144,3.668069176,PHL
,,,,,,,,,,,,,,,,,,,,
Thailand,THA,1998,5,76.78996111,10.20477419,95.17588714,92.32949786,39.10404762,5372723946,5380831022,460,76492,2.36E+11,51897392503,22.40610866,26.18632525,24.67253439,11.24494144,3.666225981,THA
,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,1998,5,77.12697251,5.318635413,98.54372458,96.10225095,3.803238095,4860188427,4805826012,460,76492,2.36E+11,51897392503,22.29309477,26.18632525,24.67253439,11.24494144,1.335852834,MYS
,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,1998,6,77.91151868,6.290681482,96.48705134,94.63590818,4.002636364,4688056753,4825304161,461,74911,2.34E+11,52166879926,22.29713961,26.18001645,24.67771365,11.22405602,1.386953235,MYS
,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,1998,6,85.55276965,-0.192297275,94.60518203,101.9106627,1.696363636,2587407410,2465615388,461,74911,2.34E+11,52166879926,21.62570726,26.18001645,24.67771365,11.22405602,0.528486923,SGP
,,,,,,,,,,,,,,,,,,,,
Thailand,THA,1998,6,77.22263385,10.578396,90.04174364,87.69235955,42.32590909,5576070738,5691921029,461,74911,2.34E+11,52166879926,22.46231364,26.18001645,24.67771365,11.22405602,3.745399407,THA
,,,,,,,,,,,,,,,,,,,,
